"Titolo_Nota_Atomica","Testo_Nota","Autore_Citato","Opera_Citata","Pagine_Riferimento","Edizione_Riferimento","Sezione_Riferimento","Nota_Markdown"
"Teoria come pratica","La citazione è di Maggie Nelson, discussa in relazione alla ricerca-come-pratica.","Maggie Nelson & Robin Nelson","Practice as Research in the Arts and Beyond","11","","Trasformare l’accademismo","### Teoria come pratica

**Sezione:** [[Trasformare l’accademismo]]
**Autori:** [[Maggie Nelson]], [[Robin Nelson]]

**Concetti Chiave:** Teoria, Pratica, Praxis

La citazione è di Maggie Nelson, discussa in relazione alla ricerca-come-pratica: la teoria può essere 'fatta', non solo 'detta'.

> *Autotheory is a practice of vulnerability and exposure, a mode of writing that exceeds the traditional boundaries of the academic essay... As Maggie Nelson suggests, theory can be ‘made’ and not only ‘said’.*

**Fonte:** Practice as Research in the Arts and Beyond, p. 11"
"Documentazione come pratica etica e politica","Questa riconcettualizzazione della documentazione unisce tre prospettive: è un''intra-azione' (Barad), uno strumento per rompere la 'crononormatività' (Fisher, Freeman), e una pratica di posizionamento etico che genera 'beni comuni' (Braidotti, Mollona).","Karen Barad, Mark Fisher, Elizabeth Freeman, Rosi Braidotti, Mao Mollona","Time Binds: Queer Temporalities, Queer Histories","","","Il valore della documentazione per le pratiche discorsive","### Documentazione come pratica etica e politica

**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]
**Autori:** [[Karen Barad]], [[Mark Fisher]], [[Elizabeth Freeman]], [[Rosi Braidotti]], [[Mao Mollona]]

**Concetti Chiave:** Documentazione, Etica, Politica, Crononormatività

Questa riconcettualizzazione della documentazione unisce tre prospettive: è un''intra-azione' (Barad), uno strumento per rompere la 'crononormatività' (Fisher, Freeman), e una pratica di posizionamento etico che genera 'beni comuni' (Braidotti, Mollona).

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Time Binds: Queer Temporalities, Queer Histories"
"Praxis come rivelazione dei tagli agenziali","La metodologia della 'praxis', intesa come oscillazione tra teoria e pratica (Nelson), si traduce, nel linguaggio di Barad, nel rendere visibili i 'tagli agenziali' con cui ogni pratica produce e occulta la realtà.","Robin Nelson & Karen Barad","Practice as Research in the Arts and Beyond","43-46","","Esplicitare l’implicito","### Praxis come rivelazione dei tagli agenziali

**Sezione:** [[Esplicitare l’implicito]]
**Autori:** [[Robin Nelson]], [[Karen Barad]]

**Concetti Chiave:** Praxis, Taglio Agenziale, Esplicitazione

La metodologia della 'praxis', intesa come oscillazione tra teoria e pratica (Nelson), si traduce, nel linguaggio di Barad, nel rendere visibili i 'tagli agenziali' con cui ogni pratica produce e occulta la realtà.

> *Praxis can be understood as an oscillation between theory and practice, a reflective movement that generates knowledge through action. [...] It is the point at which the researcher's own entanglement becomes the subject of inquiry.*

**Fonte:** Practice as Research in the Arts and Beyond, pp. 43-46"
"Etica dell'esplicitazione","Comunicare in modo aperto e privo di filtri significa immedesimarsi nella realtà contemporanea e nelle necessità di indeterminazione sociale, in un contesto mondiale dove la comunicazione è diventata forma di resistenza.","Rosi Braidotti","Nomadic Theory","","","Esplicitare l’implicito","### Etica dell'esplicitazione

**Sezione:** [[Esplicitare l’implicito]]
**Autori:** [[Rosi Braidotti]]

**Concetti Chiave:** Etica, Esplicitazione, Resistenza

Comunicare in modo aperto e privo di filtri significa immedesimarsi nella realtà contemporanea e nelle necessità di indeterminazione sociale, in un contesto mondiale dove la comunicazione è diventata forma di resistenza.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Nomadic Theory"
"Critica all'elitarismo accademico e politico","La critica all'inaccessibilità dei linguaggi specialistici e al loro fallimento politico, che lascia spazio a forze reazionarie, è un'analisi centrale in Mark Fisher. Questa dinamica elitaria è storicamente radicata nella razionalizzazione della cultura descritta da Max Weber.","Mark Fisher & Max Weber","Realismo Capitalista","","","Accessibilità delle pratiche","### Critica all'elitarismo accademico e politico

**Sezione:** [[Accessibilità delle pratiche]]
**Autori:** [[Mark Fisher]], [[Max Weber]]

**Concetti Chiave:** Elitarismo, Accessibilità, Politica

La critica all'inaccessibilità dei linguaggi specialistici e al loro fallimento politico, che lascia spazio a forze reazionarie, è un'analisi centrale in Mark Fisher. Questa dinamica elitaria è storicamente radicata nella razionalizzazione della cultura descritta da Max Weber.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Realismo Capitalista"
"Saperi nomadi e cura reciproca","La proposta di un'etica della cura e dell'accessibilità si fonda sulla politica nomade di Braidotti e sulle pratiche di 'making kin' (generare parentele) di Haraway, che convergono nel creare reti di solidarietà con le soggettività marginalizzate.","Rosi Braidotti & Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","143-150","","Accessibilità delle pratiche","### Saperi nomadi e cura reciproca

**Sezione:** [[Accessibilità delle pratiche]]
**Autori:** [[Rosi Braidotti]], [[Donna J. Haraway]]

**Concetti Chiave:** Pensiero Nomade, Cura, Making Kin

La proposta di un'etica della cura e dell'accessibilità si fonda sulla politica nomade di Braidotti e sulle pratiche di 'making kin' (generare parentele) di Haraway, che convergono nel creare reti di solidarietà con le soggettività marginalizzate.

> *Making kin is a speculative fabulation and a material practice. It is a way of caring for and being responsible to each other in a world of wounded attachments.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, pp. 143-150"
"Consapevolezza delle esclusioni sistemiche","Abbiamo bisogno di reti consapevoli delle esclusioni del sistema cristallizzato, che si interroghino su come rendere la complessità del 'mondo' accessibile.","Karen Barad","Meeting the Universe Halfway","","","Accessibilità delle pratiche","### Consapevolezza delle esclusioni sistemiche

**Sezione:** [[Accessibilità delle pratiche]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Esclusione, Sistema, Accessibilità

Abbiamo bisogno di reti consapevoli delle esclusioni del sistema cristallizzato, che si interroghino su come rendere la complessità del 'mondo' accessibile. Per Barad, la realtà è prodotta da 'tagli agenziali' che materializzano alcune possibilità escludendone altre.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Meeting the Universe Halfway"
"Scrittura rizomatica e lettura intra-attiva","La proposta di un 'formato testuale rizomatico' (Deleuze & Guattari) si concretizza in una lettura 'intra-attiva' dove testo e lettore si co-costituiscono (Barad).","Gilles Deleuze & Félix Guattari & Karen Barad","Mille Piani","15-40","","'Compost' come nuovo metodo di scrittura e lettura","### Scrittura rizomatica e lettura intra-attiva

**Sezione:** [['Compost' come nuovo metodo di scrittura e lettura]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]], [[Karen Barad]]

**Concetti Chiave:** Rizoma, Scrittura, Lettura, Intra-azione

La proposta di un 'formato testuale rizomatico' (Deleuze & Guattari) si concretizza in una lettura 'intra-attiva' dove testo e lettore si co-costituiscono (Barad).

> *Un libro non ha oggetto né soggetto, è fatto di materie variamente formate, di date e di velocità molto differenti. [...] In un libro, come in ogni altra cosa, ci sono delle linee di articolazione o di segmentarità, delle stratificazioni, dei territori; ma anche delle linee di fuga, dei movimenti di deterritorializzazione e di destratificazione.*

**Fonte:** Mille Piani, p. 15"
"Ricercatore come 'embedded practitioner'","La figura del ricercatore come 'embedded practitioner' (praticante immerso) è un principio della ricerca femminista (Lather) che si concretizza nella metodologia della 'praxis' (Nelson).","Robin Nelson & Patti Lather","Practice as Research in the Arts and Beyond","19","","'Compost' come nuovo metodo di scrittura e lettura","### Ricercatore come 'embedded practitioner'

**Sezione:** [['Compost' come nuovo metodo di scrittura e lettura]]
**Autori:** [[Robin Nelson]], [[Patti Lather]]

**Concetti Chiave:** Ricerca, Praxis, Posizionalità

La figura del ricercatore come 'embedded practitioner' (praticante immerso) è un principio della ricerca femminista (Lather) che si concretizza nella metodologia della 'praxis' (Nelson).

> *The researcher is understood not as an external observer but as an embedded practitioner, acknowledging their own positionality and involvement in the research process.*

**Fonte:** Practice as Research in the Arts and Beyond, p. 19"
"Metodologia nomade e temporalità queer","La metodologia del progetto, definita 'rizomatica' e basata su una 'temporalità queer', è una diretta applicazione della politica nomade di Braidotti e della critica alla 'crononormatività' di Freeman.","Rosi Braidotti & Elizabeth Freeman & Gilles Deleuze & Félix Guattari","Time Binds: Queer Temporalities, Queer Histories","","","Diventare 'Compost'","### Metodologia nomade e temporalità queer

**Sezione:** [[Diventare 'Compost']]
**Autori:** [[Rosi Braidotti]], [[Elizabeth Freeman]], [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Pensiero Nomade, Temporalità Queer, Rizoma

La metodologia del progetto, definita 'rizomatica' e basata su una 'temporalità queer', è una diretta applicazione della politica nomade di Braidotti e della critica alla 'crononormatività' di Freeman.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Time Binds: Queer Temporalities, Queer Histories"
"Critica al sapere produttivo","Il progetto si pone come risposta alla crisi dell'immaginazione diagnosticata da Fisher, cercando di creare uno spazio non-produttivo che resista alla logica della 'performance efficientista' del realismo capitalista.","Mark Fisher","Realismo Capitalista","","","Diventare 'Compost'","### Critica al sapere produttivo

**Sezione:** [[Diventare 'Compost']]
**Autori:** [[Mark Fisher]]

**Concetti Chiave:** Sapere, Produttività, Realismo Capitalista

Il progetto si pone come risposta alla crisi dell'immaginazione diagnosticata da Fisher, cercando di creare uno spazio non-produttivo che resista alla logica della 'performance efficientista' del realismo capitalista.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Realismo Capitalista"
"Metodo del questioning come pratica generativa","Il posizionamento metodologico del 'questioning' si distingue da altre pratiche critiche (Derrida, Foucault) per il suo scopo generativo e co-costruttivo, finalizzato non a svelare una verità, ma ad aprire a nuove intra-azioni.","Michel Foucault & Jacques Derrida","","","","Diventare 'Compost'","### Metodo del questioning come pratica generativa

**Sezione:** [[Diventare 'Compost']]
**Autori:** [[Michel Foucault]], [[Jacques Derrida]]

**Concetti Chiave:** Questioning, Metodologia, Decostruzione, Genealogia

Il posizionamento metodologico del 'questioning' si distingue da altre pratiche critiche (Derrida, Foucault) per il suo scopo generativo e co-costruttivo, finalizzato non a svelare una verità, ma ad aprire a nuove intra-azioni.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"
"Approccio post-disciplinare","L'approccio post-disciplinare del progetto si basa sulle 'traiettorie nomadiche' (Braidotti) e sul 'pensiero tentacolare' (Haraway) come alternative al sapere settoriale.","Rosi Braidotti & Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","51-87","","Ambiti di ricerca","### Approccio post-disciplinare

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[Rosi Braidotti]], [[Donna J. Haraway]]

**Concetti Chiave:** Post-disciplinarietà, Pensiero Nomade, Pensiero Tentacolare

L'approccio post-disciplinare del progetto si basa sulle 'traiettorie nomadiche' (Braidotti) e sul 'pensiero tentacolare' (Haraway) come alternative al sapere settoriale.

> *I tentacoli ci portano a pensare-con; sono necessarie le stringhe, i fili, i legami, i percorsi e le linee aggrovigliate per stare con il problema.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, pp. 51-87"
"Critica all'iperproduttività accademica","La critica all'iperproduttività accademica che neutralizza il dissenso è basata sulla diagnosi di Fisher.","Mark Fisher","Realismo Capitalista","","","Ambiti di ricerca","### Critica all'iperproduttività accademica

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[Mark Fisher]]

**Concetti Chiave:** Accademismo, Produttività, Dissenso

La critica all'iperproduttività accademica che neutralizza il dissenso è basata sulla diagnosi di Fisher.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Realismo Capitalista"
"Progetto come apparato agenziale","La capacità del progetto di 'modificare performativamente i propri contorni' è un'applicazione del realismo agenziale di Barad.","Karen Barad","Meeting the Universe Halfway","","","Ambiti di ricerca","### Progetto come apparato agenziale

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Progetto, Apparato, Agency

La capacità del progetto di 'modificare performativamente i propri contorni' è un'applicazione del realismo agenziale di Barad.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Meeting the Universe Halfway"
"Sfera sociale come pratica decoloniale e nomade","La 'sfera sociale' del progetto è definita dalla politica decoloniale e nomade di Braidotti, che si attua attraverso 'macchine da guerra minoritarie' (Deleuze e Guattari) e un'identità-compost relazionale.","Rosi Braidotti & Gilles Deleuze & Félix Guattari","","","","Sfera Sociale","### Sfera sociale come pratica decoloniale e nomade

**Sezione:** [[Sfera Sociale]]
**Autori:** [[Rosi Braidotti]], [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Sfera Sociale, Decolonizzazione, Pensiero Nomade

La 'sfera sociale' del progetto è definita dalla politica decoloniale e nomade di Braidotti, che si attua attraverso 'macchine da guerra minoritarie' (Deleuze e Guattari) e un'identità-compost relazionale.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"
"Sfera ecosistemica come rete intra-attiva e di cura","La 'sfera ecosistemica' è concepita come una rete di intra-azioni (Barad) che richiede un''ecologia dell'affetto' (Braidotti) e la creazione di 'parentele multispecie' (Haraway).","Karen Barad, Rosi Braidotti, Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","143-150","","Sfera Ecosistemica","### Sfera ecosistemica come rete intra-attiva e di cura

**Sezione:** [[Sfera Ecosistemica]]
**Autori:** [[Karen Barad]], [[Rosi Braidotti]], [[Donna J. Haraway]]

**Concetti Chiave:** Sfera Ecosistemica, Intra-azione, Ecologia dell'affetto, Making Kin

La 'sfera ecosistemica' è concepita come una rete di intra-azioni (Barad) che richiede un''ecologia dell'affetto' (Braidotti) e la creazione di 'parentele multispecie' (Haraway).

> *Making kin is a speculative fabulation and a material practice. It is a way of caring for and being responsible to each other in a world of wounded attachments.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, pp. 143-150"
"Sfera pratica/teorica come onto-epistemologia e praxis","La 'sfera pratica/teorica' supera la propria dicotomia attraverso l'onto-epistemologia di Barad e la 'praxis' intesa come ricerca incarnata (Nelson).","Karen Barad & Robin Nelson","Practice as Research in the Arts and Beyond","43-46","","Sfera Pratica/Teorica e (S)oggettività Generante","### Sfera pratica/teorica come onto-epistemologia e praxis

**Sezione:** [[Sfera Pratica/Teorica e (S)oggettività Generante]]
**Autori:** [[Karen Barad]], [[Robin Nelson]]

**Concetti Chiave:** Praxis, Onto-epistemologia, Ricerca Incarnata

La 'sfera pratica/teorica' supera la propria dicotomia attraverso l'onto-epistemologia di Barad e la 'praxis' intesa come ricerca incarnata (Nelson).

> *Praxis can be understood as an oscillation between theory and practice, a reflective movement that generates knowledge through action. [...] It is the point at which the researcher's own entanglement becomes the subject of inquiry.*

**Fonte:** Practice as Research in the Arts and Beyond, pp. 43-46"
"Soggettività generante come nodo relazionale nomade","La (s)oggettività generante, trasformata in entità collettiva e situata, fluidifica la dislocazione... a nodo relazionale generatore di saperi...","Rosi Braidotti","Nomadic Theory","","","Sfera Pratica/Teorica e (S)oggettività Generante","### Soggettività generante come nodo relazionale nomade

**Sezione:** [[Sfera Pratica/Teorica e (S)oggettività Generante]]
**Autori:** [[Rosi Braidotti]]

**Concetti Chiave:** Soggettività, Pensiero Nomade, Relazionalità

La (s)oggettività generante, trasformata in entità collettiva e situata, fluidifica la dislocazione... a nodo relazionale generatore di saperi...

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Nomadic Theory"
"Collocazione finale del progetto","In sintesi, la 'collocazione' di 'Compost' è: post-umanista e neo-materialista (Barad, Braidotti), propone un'ecologia relazionale (Haraway), si pone come pratica decoloniale e accessibile che genera beni comuni (Mollona) in opposizione al sistema criticato da Fisher, e adotta la praxis (Nelson) come metodologia.","Karen Barad, Rosi Braidotti, Donna J. Haraway, Mao Mollona, Mark Fisher, Robin Nelson","","","","Collocazione","### Collocazione finale del progetto

**Sezione:** [[Collocazione]]
**Autori:** [[Karen Barad]], [[Rosi Braidotti]], [[Donna J. Haraway]], [[Mao Mollona]], [[Mark Fisher]], [[Robin Nelson]]

**Concetti Chiave:** Postumanesimo, Neo-materialismo, Ecologia Relazionale, Art Commons, Praxis

In sintesi, la 'collocazione' di 'Compost' è: post-umanista e neo-materialista (Barad, Braidotti), propone un'ecologia relazionale (Haraway), si pone come pratica decoloniale e accessibile che genera beni comuni (Mollona) in opposizione al sistema criticato da Fisher, e adotta la praxis (Nelson) come metodologia.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"

"Dissoluzione della dicotomia qualitativo/quantitativo","Sciogliamo così l’opposizione metodologica tra ricerca qualitativa e quantitativa.","Karen Barad","Meeting the Universe Halfway","","","Collocazione","### Dissoluzione della dicotomia qualitativo/quantitativo

**Sezione:** [[Collocazione]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Metodologia, Qualitativo, Quantitativo, Dualismo

Sciogliamo così l’opposizione metodologica tra ricerca qualitativa e quantitativa. Questa mossa radicale è una conseguenza logica del realismo agenziale di Barad, che rifiuta tutte le dicotomie fondamentali.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Meeting the Universe Halfway"
"Missione del progetto: generare possibilità","La missione ultima del progetto, 'generare nuove possibilità' invece che 'produrre sapere', sintetizza l'etica affermativa che accomuna Braidotti e Haraway.","Rosi Braidotti & Donna J. Haraway","","","","Collocazione","### Missione del progetto: generare possibilità

**Sezione:** [[Collocazione]]
**Autori:** [[Rosi Braidotti]], [[Donna J. Haraway]]

**Concetti Chiave:** Possibilità, Etica Affermativa, Speranza

La missione ultima del progetto, 'generare nuove possibilità' invece che 'produrre sapere', sintetizza l'etica affermativa che accomuna Braidotti e Haraway.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"
"Infocrazia e sorveglianza seduttiva","L'infocrazia è il regime di potere basato sui dati, in cui la sorveglianza non è più solo repressiva ma diventa seduttiva, spingendo a un'auto-esposizione volontaria.","Byung-Chul Han","Infocrazia. Le nostre vite manipolate dalla rete","8","","La Diffrazione","### Infocrazia e sorveglianza seduttiva

**Sezione:** [[La Diffrazione]]
**Autori:** [[Byung-Chul Han]]

**Concetti Chiave:** Infocrazia, Sorveglianza, Potere, Neoliberismo

Byung-Chul Han definisce 'infocrazia' il regime di potere basato sull'informazione e sui dati, in cui la sorveglianza non è più solo repressiva (come nel panopticon di Foucault), ma diventa seduttiva, spingendo i soggetti a un'auto-esposizione volontaria.

> *Il potere intelligente non opera frontalmente, con la repressione, ma in modo seduttivo, accondiscendente. Non si impone mettendo a tacere, ma spingendo a parlare. Non reprime la partecipazione, la esige.*

**Fonte:** Infocrazia. Le nostre vite manipolate dalla rete, p. 8"
"Iperindividualismo e società ipermoderna","L'analisi di una società basata sull''iperindividualismo', il consumo e l'effimero è centrale nel pensiero di Gilles Lipovetsky, che definisce questa condizione come 'ipermodernità'.","Gilles Lipovetsky","Les Temps hypermodernes","57","","La Diffrazione","### Iperindividualismo e società ipermoderna

**Sezione:** [[La Diffrazione]]
**Autori:** [[Gilles Lipovetsky]]

**Concetti Chiave:** Ipermodernità, Iperindividualismo, Consumo

L'analisi di una società basata sull''iperindividualismo', il consumo e l'effimero è centrale nel pensiero di Gilles Lipovetsky, che definisce questa condizione come 'ipermodernità'.

> *L’individu hypermoderne est celui qui est de moins en moins dirigé par les grandes institutions collectives et de plus en plus «autogéré» sur la base de choix à la carte.*

**Fonte:** Les Temps hypermodernes, p. 57"
"Potere disciplinare e Panopticon","La descrizione di un sistema di sorveglianza pervasivo che non agisce solo con la forza, ma attraverso l'osservazione continua e la normalizzazione dei comportamenti, è un'applicazione diretta del concetto di 'potere disciplinare' di Foucault.","Michel Foucault","Sorvegliare e punire: Nascita della prigione","227","","La Diffrazione","### Potere disciplinare e Panopticon

**Sezione:** [[La Diffrazione]]
**Autori:** [[Michel Foucault]]

**Concetti Chiave:** Potere Disciplinare, Sorveglianza, Panopticon

La descrizione di un sistema di sorveglianza pervasivo che non agisce solo con la forza, ma attraverso l'osservazione continua e la normalizzazione dei comportamenti, è un'applicazione diretta del concetto di 'potere disciplinare' di Foucault.

> *Di qui, l'effetto principale del Panopticon: indurre nel detenuto uno stato cosciente e permanente di visibilità che assicura il funzionamento automatico del potere. Fare in modo che la sorveglianza sia permanente nei suoi effetti, anche se è discontinua nella sua azione.*

**Fonte:** Sorvegliare e punire: Nascita della prigione, p. 227"
"La promessa politica dei mostri","La figura del 'mostro' in Haraway è precisamente quella che sfida le categorie normative e binarie (naturale/artificiale, umano/macchina), rappresentando una politica affermativa per l'alterità e le identità 'impure'.","Donna J. Haraway","Le promesse dei mostri: Una politica rigeneratrice per l’alterità inappropriata","37","","Essere Minoranza","### La promessa politica dei mostri

**Sezione:** [[Essere Minoranza]]
**Autori:** [[Donna J. Haraway]]

**Concetti Chiave:** Mostro, Cyborg, Alterità, Politica affermativa

La figura del 'mostro' in Haraway è precisamente quella che sfida le categorie normative e binarie (naturale/artificiale, umano/macchina), rappresentando una politica affermativa per l'alterità e le identità 'impure'.

> *Le promesse dei mostri sono la possibilità di sopravvivenza. La prole inappropriata/ta del militarismo, del patriarcato, del colonialismo e del capitalismo promette di essere potentemente infedele ai propri padri.*

**Fonte:** Le promesse dei mostri: Una politica rigeneratrice per l’alterità inappropriata, p. 37"
"Biopotere e disciplina","Il concetto di un potere che non si limita a reprimere ma gestisce e 'addestra' i corpi e le vite è centrale nell'analisi di Foucault sulla 'disciplina'.","Michel Foucault","Sorvegliare e punire: Nascita della prigione","153-194","","Trasformare la normatività","### Biopotere e disciplina

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Michel Foucault]]

**Concetti Chiave:** Biopotere, Disciplina, Norma

Il concetto di un potere che non si limita a reprimere ma gestisce e 'addestra' i corpi e le vite è centrale nell'analisi di Foucault sulla 'disciplina'.

> **Nota:** Il concetto di 'biopotere' è sviluppato più ampiamente da Foucault in *La volontà di sapere*, ma le sue radici sono nell'analisi del potere disciplinare in *Sorvegliare e punire*.

**Fonte:** Sorvegliare e punire: Nascita della prigione, pp. 153-194"
"Critica del sapere situato","La critica a un sapere apparentemente oggettivo, ma in realtà prodotto da una prospettiva specifica e dominante (maschile, bianca, occidentale), è il nucleo del concetto di 'sapere situato' (situated knowledge) di Haraway.","Donna J. Haraway","Le promesse dei mostri: Una politica rigeneratrice per l’alterità inappropriata","","","Il valore della documentazione per le pratiche discorsive","### Critica del sapere situato

**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]
**Autori:** [[Donna J. Haraway]]

**Concetti Chiave:** Sapere Situato, Oggettività, Femminismo

La critica a un sapere apparentemente oggettivo, ma in realtà prodotto da una prospettiva specifica e dominante (maschile, bianca, occidentale), è il nucleo del concetto di 'sapere situato' (situated knowledge) di Haraway.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Le promesse dei mostri: Una politica rigeneratrice per l’alterità inappropriata"
"Saturazione cognitiva ipermoderna","La sua critica al 'citazionismo sfrenato' come sintomo di una crisi unisce l'analisi di M. Fisher sulla burocratizzazione dell'università con la diagnosi di G. Lipovetsky sull'ipermodernità, caratterizzata da un eccesso di informazione che porta a una 'cultura della fatica e dell'urgenza'.","Gilles Lipovetsky & Mark Fisher","Les Temps hypermodernes","75-80","","'Compost' come nuovo metodo di scrittura e lettura","### Saturazione cognitiva ipermoderna

**Sezione:** [['Compost' come nuovo metodo di scrittura e lettura]]
**Autori:** [[Gilles Lipovetsky]], [[Mark Fisher]]

**Concetti Chiave:** Ipermodernità, Saturazione Cognitiva, Accademismo

La sua critica al 'citazionismo sfrenato' come sintomo di una crisi unisce l'analisi di M. Fisher sulla burocratizzazione dell'università con la diagnosi di G. Lipovetsky sull'ipermodernità, caratterizzata da un eccesso di informazione che porta a una 'cultura della fatica e dell'urgenza'.

> *L'hypermodernité se caractérise par une inflation de l'information, une accélération des rythmes de vie et une pression constante à la performance. [...] La culture de l'urgence et de l'immédiateté rend difficile la concentration et la pensée complexe.*

**Fonte:** Les Temps hypermodernes, pp. 75-80"
"Metodo genealogico e questioning","Il suo metodo del 'questioning' si distingue dalla genealogia di Foucault, che mira a ricostruire le origini storiche di una norma per mostrarne la contingenza, ma condivide con Foucault l'idea che interrogare il presente sia un atto politico.","Michel Foucault","Sorvegliare e punire: Nascita della prigione","","","Diventare 'Compost'","### Metodo genealogico e questioning

**Sezione:** [[Diventare 'Compost']]
**Autori:** [[Michel Foucault]]

**Concetti Chiave:** Questioning, Genealogia, Critica

Il suo metodo del 'questioning' si distingue dalla genealogia di Foucault, che mira a ricostruire le origini storiche di una norma per mostrarne la contingenza, ma condivide con Foucault l'idea che interrogare il presente sia un atto politico.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Sorvegliare e punire: Nascita della prigione"
"Sapere come dispositivo di potere","L'idea del sapere come 'dispositivo' (dispositif) che produce e regola la realtà è un concetto chiave di Michel Foucault. Le discipline non sono neutre, ma sono meccanismi di potere/sapere.","Michel Foucault","","","","Ambiti di ricerca","### Sapere come dispositivo di potere

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[Michel Foucault]]

**Concetti Chiave:** Sapere, Dispositivo, Potere

L'idea del sapere come 'dispositivo' (dispositif) che produce e regola la realtà è un concetto chiave di Michel Foucault. Le discipline non sono neutre, ma sono meccanismi di potere/sapere.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"
"Ecologia relazionale e alleanze multispecie","La sua collocazione finale come 'ecologia-relazionale' è una sintesi. Propone 'alleanze multispecie' e la cura dell'alterità (Haraway), si fonda su un'ontologia intra-attiva (Barad) e su una politica affermativa nomade (Braidotti).","Donna J. Haraway, Karen Barad, Rosi Braidotti","Le promesse dei mostri: Una politica rigeneratrice per l’alterità inappropriata","","","Ambiti di ricerca","### Ecologia relazionale e alleanze multispecie

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[Donna J. Haraway]], [[Karen Barad]], [[Rosi Braidotti]]

**Concetti Chiave:** Ecologia Relazionale, Alleanze Multispecie, Cura

La sua collocazione finale come 'ecologia-relazionale' è una sintesi. Propone 'alleanze multispecie' e la cura dell'alterità (Haraway), si fonda su un'ontologia intra-attiva (Barad) e su una politica affermativa nomade (Braidotti).

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Le promesse dei mostri: Una politica rigeneratrice per l’alterità inappropriata"
"Iperoggetti e relazionalità","Il concetto di 'iperoggetto' è introdotto da Timothy Morton per descrivere entità talmente estese nello spazio e nel tempo da trascendere la percezione umana diretta (es. il cambiamento climatico, la plastica, il capitalismo).","Timothy Morton","Iperoggetti. Filosofia ed ecologia dopo la fine del mondo","31-34","","Rompere la normatività","### Iperoggetti e relazionalità

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Timothy Morton]]

**Concetti Chiave:** Iperoggetti, Ecologia, Antropocene

Il concetto di 'iperoggetto' è introdotto da Timothy Morton per descrivere entità talmente estese nello spazio e nel tempo da trascendere la percezione umana diretta (es. il cambiamento climatico, la plastica, il capitalismo).

> *Gli iperoggetti sono «viscosi»: più cerchi di liberartene, più vi resti attaccato. [...] Sono anche «non-locali»: ciò significa che qualsiasi manifestazione «locale» di un iperoggetto non è direttamente l'iperoggetto. [...] Sono inoltre caratterizzati da un'«ondulazione temporale»: ciò significa che non sono contenuti nello spazio tridimensionale a cui siamo abituati.*

**Fonte:** Iperoggetti. Filosofia ed ecologia dopo la fine del mondo, pp. 31-34"
